id,version,number
1,0.43,47
2,7.8.0,55
3,0.30,38
4,0.96,27
5,6.38,42
6,0.3.8,65
7,0.6.4,28
8,6.2.9,89
9,0.63,14
10,0.7.1,39
11,0.37,74
12,2.85,9
13,1.34,70
14,7.8.0,23
15,1.6,13
16,0.70,4
17,0.7.0,16
18,0.7.2,15
19,5.63,29
20,6.1.9,71
21,3.61,78
22,1.76,61
23,5.1.3,65
24,0.76,33
25,7.0.2,68
26,4.7.6,59
27,3.5.7,36
28,0.39,92
29,0.6.7,3
30,0.2.7,3
31,0.7.5,41
32,6.9,20
33,8.9,10
34,1.7,31
35,4.41,16
36,0.99,92
37,0.7.1,94
38,0.9.5,8
39,0.2.8,32
40,1.05,37
41,2.8.1,23
42,0.6.3,62
43,5.76,61
44,0.62,38
45,1.57,94
46,0.4.3,81
47,5.5.3,66
48,0.7.1,16
49,0.84,30
50,0.86,14
